Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF  ;Failure             ;Notes;Sample Prep Notes;Number
C11     ;C12;None     ;19.18;5.25E+03;Positive;Unchecked;Unknown         ;-       ;19.18;0;5.25E+03;0.00E+00;               ;SYBR Green I;           ;0.87;4.68;None                ;     ;                 ;35
C12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;-0.01;None                ;     ;                 ;36
D1      ;standard   ;None     ;9.45;3.24E+06;Positive;Unchecked;Standard        ;2.20E+06;9.38;0.1;3.40E+06;2.22E+05;D1             ;SYBR Green I;           ;1.83;5.98;None                ;     ;                 ;37
D2      ;standard   ;None     ;9.31;3.55E+06;Positive;Unchecked;Standard        ;2.20E+06;9.38;0.1;3.40E+06;2.22E+05;D1             ;SYBR Green I;           ;1.88;6.03;None                ;     ;                 ;38
D3      ;D10;None     ;15.83;4.80E+04;Positive;Unchecked;Unknown         ;-       ;15.83;0;4.80E+04;0.00E+00;               ;SYBR Green I;           ;1.58;5.49;None                ;     ;                 ;39
D4      ;D10;None     ;15.3;6.81E+04;Positive;Unchecked;Unknown         ;-       ;15.3;0;6.81E+04;0.00E+00;               ;SYBR Green I;           ;1.48;5.33;None                ;     ;                 ;40
D5      ;D10;None     ;15.26;6.99E+04;Positive;Unchecked;Unknown         ;-       ;15.26;0;6.99E+04;0.00E+00;               ;SYBR Green I;           ;1.46;5.3;None                ;     ;                 ;41
D6      ;D11;None     ;17.57;1.52E+04;Positive;Unchecked;Unknown         ;-       ;17.57;0;1.52E+04;0.00E+00;               ;SYBR Green I;           ;1.63;5.61;None                ;     ;                 ;42
D7      ;D11;None     ;16.89;2.38E+04;Positive;Unchecked;Unknown         ;-       ;16.89;0;2.38E+04;0.00E+00;               ;SYBR Green I;           ;1.74;5.66;None                ;     ;                 ;43
D8      ;D11;None     ;16.74;2.63E+04;Positive;Unchecked;Unknown         ;-       ;16.74;0;2.63E+04;0.00E+00;               ;SYBR Green I;           ;1.69;5.56;None                ;     ;                 ;44
D9      ;D12;None     ;15.31;6.76E+04;Positive;Unchecked;Unknown         ;-       ;15.31;0;6.76E+04;0.00E+00;               ;SYBR Green I;           ;1.71;5.29;None                ;     ;                 ;45
D10     ;D12;None     ;15.23;7.13E+04;Positive;Unchecked;Unknown         ;-       ;15.23;0;7.13E+04;0.00E+00;               ;SYBR Green I;           ;1.78;5.39;None                ;     ;                 ;46
D11     ;D12;None     ;15.29;6.85E+04;Positive;Unchecked;Unknown         ;-       ;15.29;0;6.85E+04;0.00E+00;               ;SYBR Green I;           ;1.81;5.51;None                ;     ;                 ;47
D12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.03;None                ;     ;                 ;48
E1      ;standard   ;None     ;13.85;1.77E+05;Positive;Unchecked;Standard        ;2.20E+05;13.94;0.12;1.68E+05;1.33E+04;E1             ;SYBR Green I;           ;1.92;5.99;None                ;     ;                 ;49
E2      ;standard   ;None     ;14.02;1.59E+05;Positive;Unchecked;Standard        ;2.20E+05;13.94;0.12;1.68E+05;1.33E+04;E1             ;SYBR Green I;           ;1.92;5.95;None                ;     ;                 ;50
E3      ;E10;None     ;12.1;5.63E+05;Positive;Unchecked;Unknown         ;-       ;12.1;0;5.63E+05;0.00E+00;               ;SYBR Green I;           ;1.82;5.82;None                ;     ;                 ;51
